Strain,Doubling_time,Experiment
WT,86.2240098082165,Exp1
WT,81.4129964892203,Exp2
WT,87.764643011367,Exp3
BT1,87.3913623309606,Exp1
BT1,85.0087443457089,Exp2
BT1,88.4299383099513,Exp3
MCM869,124.203803012318,Exp1
MCM869,141.544953942127,Exp2
